2021-07-15 18:08:16,453 SSD INFO: Using 1 GPUs
2021-07-15 18:08:16,453 SSD INFO: Namespace(config_file='configs/vgg_ssd300_voc0712.yaml', distributed=False, eval_step=2500, local_rank=0, log_step=10, num_gpus=1, opts=[], save_step=2500, skip_test=False, use_tensorboard=True)
2021-07-15 18:08:16,453 SSD INFO: Loaded configuration file configs/vgg_ssd300_voc0712.yaml
2021-07-15 18:08:16,453 SSD INFO: 
MODEL:
  NUM_CLASSES: 21
INPUT:
  IMAGE_SIZE: 300
DATASETS:
  TRAIN: ("voc_2007_trainval", "voc_2012_trainval")
  TEST: ("voc_2007_test", )
SOLVER:
  MAX_ITER: 120000
  LR_STEPS: [80000, 100000]
  GAMMA: 0.1
  BATCH_SIZE: 16
  LR: 1e-3

OUTPUT_DIR: 'outputs/vgg_ssd300_voc0712'
2021-07-15 18:08:16,453 SSD INFO: Running with config:
DATASETS:
  TEST: ('voc_2007_test',)
  TRAIN: ('voc_2007_trainval', 'voc_2012_trainval')
DATA_LOADER:
  NUM_WORKERS: 2
  PIN_MEMORY: True
INPUT:
  IMAGE_SIZE: 300
  PIXEL_MEAN: [123, 117, 104]
MODEL:
  BACKBONE:
    NAME: vgg
    OUT_CHANNELS: (512, 1024, 512, 256, 256, 256)
    PRETRAINED: True
  BOX_HEAD:
    NAME: SSDBoxHead
    PREDICTOR: SSDBoxPredictor
  CENTER_VARIANCE: 0.1
  DEVICE: cuda
  META_ARCHITECTURE: SSDDetector
  NEG_POS_RATIO: 3
  NUM_CLASSES: 21
  PRIORS:
    ASPECT_RATIOS: [[2], [2, 3], [2, 3], [2, 3], [2], [2]]
    BOXES_PER_LOCATION: [4, 6, 6, 6, 4, 4]
    CLIP: True
    FEATURE_MAPS: [38, 19, 10, 5, 3, 1]
    MAX_SIZES: [60, 111, 162, 213, 264, 315]
    MIN_SIZES: [30, 60, 111, 162, 213, 264]
    STRIDES: [8, 16, 32, 64, 100, 300]
  SIZE_VARIANCE: 0.2
  THRESHOLD: 0.5
OUTPUT_DIR: outputs/vgg_ssd300_voc0712
SOLVER:
  BATCH_SIZE: 16
  GAMMA: 0.1
  LR: 0.001
  LR_STEPS: [80000, 100000]
  MAX_ITER: 120000
  MOMENTUM: 0.9
  WARMUP_FACTOR: 0.3333333333333333
  WARMUP_ITERS: 500
  WEIGHT_DECAY: 0.0005
TEST:
  BATCH_SIZE: 8
  CONFIDENCE_THRESHOLD: 0.01
  MAX_PER_CLASS: -1
  MAX_PER_IMAGE: 100
  NMS_THRESHOLD: 0.45
2021-07-15 18:08:18,087 SSD.trainer INFO: No checkpoint found.
2021-07-15 18:08:18,111 SSD.trainer INFO: Start training ...
2021-07-15 18:08:33,832 SSD.trainer INFO: iter: 000010, lr: 0.00035, total_loss: 20.142 (20.142), reg_loss: 3.122 (3.122), cls_loss: 17.021 (17.021), time: 1.189 (1.189), eta: 1 day, 15:37:09
2021-07-15 18:08:36,950 SSD.trainer INFO: iter: 000020, lr: 0.00036, total_loss: 15.933 (18.038), reg_loss: 2.936 (3.029), cls_loss: 12.996 (15.008), time: 0.312 (0.750), eta: 1 day, 1:00:18
2021-07-15 18:08:40,002 SSD.trainer INFO: iter: 000030, lr: 0.00037, total_loss: 14.904 (16.993), reg_loss: 2.795 (2.951), cls_loss: 12.109 (14.042), time: 0.305 (0.602), eta: 20:03:34
2021-07-15 18:08:43,145 SSD.trainer INFO: iter: 000040, lr: 0.00039, total_loss: 14.484 (16.366), reg_loss: 2.726 (2.895), cls_loss: 11.757 (13.471), time: 0.314 (0.530), eta: 17:39:43
2021-07-15 18:08:46,181 SSD.trainer INFO: iter: 000050, lr: 0.00040, total_loss: 13.552 (15.803), reg_loss: 2.931 (2.902), cls_loss: 10.621 (12.901), time: 0.304 (0.485), eta: 16:09:05
2021-07-15 18:08:49,228 SSD.trainer INFO: iter: 000060, lr: 0.00041, total_loss: 11.826 (15.140), reg_loss: 2.873 (2.897), cls_loss: 8.953 (12.243), time: 0.305 (0.455), eta: 15:09:01
2021-07-15 18:08:52,280 SSD.trainer INFO: iter: 000070, lr: 0.00043, total_loss: 10.052 (14.413), reg_loss: 2.737 (2.874), cls_loss: 7.315 (11.539), time: 0.305 (0.433), eta: 14:26:13
2021-07-15 18:08:55,454 SSD.trainer INFO: iter: 000080, lr: 0.00044, total_loss: 9.308 (13.775), reg_loss: 2.576 (2.837), cls_loss: 6.732 (10.938), time: 0.317 (0.419), eta: 13:57:11
2021-07-15 18:08:58,514 SSD.trainer INFO: iter: 000090, lr: 0.00045, total_loss: 8.554 (13.195), reg_loss: 2.611 (2.812), cls_loss: 5.943 (10.383), time: 0.306 (0.406), eta: 13:32:03
2021-07-15 18:09:01,555 SSD.trainer INFO: iter: 000100, lr: 0.00047, total_loss: 8.315 (12.707), reg_loss: 2.604 (2.791), cls_loss: 5.711 (9.916), time: 0.304 (0.396), eta: 13:11:33
2021-07-15 18:09:04,615 SSD.trainer INFO: iter: 000110, lr: 0.00048, total_loss: 8.233 (12.300), reg_loss: 2.600 (2.774), cls_loss: 5.633 (9.526), time: 0.306 (0.388), eta: 12:55:07
2021-07-15 18:09:07,657 SSD.trainer INFO: iter: 000120, lr: 0.00049, total_loss: 8.148 (11.954), reg_loss: 2.575 (2.757), cls_loss: 5.574 (9.197), time: 0.304 (0.381), eta: 12:41:07
2021-07-15 18:09:10,701 SSD.trainer INFO: iter: 000130, lr: 0.00051, total_loss: 7.911 (11.643), reg_loss: 2.597 (2.745), cls_loss: 5.314 (8.898), time: 0.304 (0.375), eta: 12:29:17
2021-07-15 18:09:13,763 SSD.trainer INFO: iter: 000140, lr: 0.00052, total_loss: 7.749 (11.365), reg_loss: 2.502 (2.728), cls_loss: 5.248 (8.638), time: 0.306 (0.370), eta: 12:19:23
2021-07-15 18:09:16,806 SSD.trainer INFO: iter: 000150, lr: 0.00053, total_loss: 7.619 (11.115), reg_loss: 2.416 (2.707), cls_loss: 5.202 (8.409), time: 0.304 (0.366), eta: 12:10:34
2021-07-15 18:09:19,852 SSD.trainer INFO: iter: 000160, lr: 0.00055, total_loss: 7.613 (10.896), reg_loss: 2.469 (2.692), cls_loss: 5.144 (8.205), time: 0.305 (0.362), eta: 12:02:53
2021-07-15 18:09:22,898 SSD.trainer INFO: iter: 000170, lr: 0.00056, total_loss: 7.633 (10.704), reg_loss: 2.505 (2.681), cls_loss: 5.128 (8.024), time: 0.305 (0.359), eta: 11:56:05
2021-07-15 18:09:25,952 SSD.trainer INFO: iter: 000180, lr: 0.00057, total_loss: 7.701 (10.538), reg_loss: 2.450 (2.668), cls_loss: 5.252 (7.870), time: 0.305 (0.356), eta: 11:50:08
